 4.86  1.96  1.00  0.99  
 4.88  1.91  1.00  1.03  
 4.90  1.95  1.03  0.98  
 4.92  1.87  1.07  0.98  
 4.94  1.77  1.08  0.97  
 4.96  1.62  1.10  0.95  
 4.98  1.62  1.08  0.89  
 5.00  1.53  1.13  0.90  
 5.02  1.49  1.16  0.89  
 5.04  1.35  1.13  0.87  
 5.06  1.22  1.15  0.84  
 5.08  1.16  1.17  0.78  
 5.10  1.11  1.16  0.75  
 5.12  1.11  1.18  0.75  
 5.14  0.96  1.18  0.70  
 5.16  0.93  1.20  0.68  
 5.18  0.89  1.19  0.65  
 5.20  0.89  1.14  0.64  
 5.22  0.85  1.14  0.60  
 5.24  0.81  1.14  0.58  
 5.26  0.76  1.11  0.56  
 5.28  0.83  1.08  0.55  
 5.30  0.72  1.05  0.54  
 5.32  0.72  1.03  0.57  
 5.34  0.72  1.00  0.53  
 5.36  0.75  0.99  0.55  
 5.38  0.72  0.95  0.56  
 5.40  0.70  0.92  0.57  
 5.42  0.64  0.88  0.58  
 5.44  0.66  0.85  0.59  
 5.46  0.65  0.81  0.63  
 5.48  0.66  0.79  0.67  
 5.50  0.62  0.77  0.66  
 5.52  0.64  0.74  0.69  
 5.54  0.60  0.72  0.71  
 5.56  0.62  0.70  0.76  
 5.58  0.66  0.71  0.76  
 5.60  0.56  0.70  0.80  
 5.62  0.66  0.70  0.81  
 5.64  0.64  0.69  0.85  
 5.66  0.64  0.72  0.87  
 5.68  0.63  0.76  0.87  
 5.70  0.67  0.75  0.89  
 5.72  0.59  0.80  0.92  
 5.74  0.65  0.84  0.95  
 5.76  0.60  0.91  0.93  
 5.78  0.63  0.93  0.94  
 5.80  0.59  0.98  0.93  
 5.82  0.59  1.05  0.94  
 5.84  0.58  1.07  0.95  
 5.86  0.57  1.13  0.96  
 5.88  0.56  1.18  0.96  
 5.90  0.55  1.24  0.96  
 5.92  0.53  1.26  0.99  
 5.94  0.54  1.32  1.00  
 5.96  0.56  1.36  1.00  
 5.98  0.57  1.39  1.00  
 6.00  0.57  1.42  1.03  
 6.02  0.59  1.42  1.06  
 6.04  0.60  1.44  1.07  
 6.06  0.60  1.46  1.06  
 6.08  0.67  1.44  1.14  
 6.10  0.73  1.45  1.13  
 6.12  0.73  1.39  1.18  
 6.14  0.76  1.40  1.23  
 6.16  0.87  1.36  1.24  
 6.18  0.90  1.33  1.29  
 6.20  0.98  1.36  1.28  
 6.22  1.00  1.31  1.33  
 6.24  1.03  1.27  1.37  
 6.26  1.14  1.24  1.35  
 6.28  1.18  1.24  1.38  
 6.30  1.27  1.22  1.41  
 6.32  1.35  1.20  1.41  
 6.34  1.43  1.13  1.43  
 6.36  1.48  1.10  1.45  
 6.38  1.49  1.12  1.44  
 6.40  1.62  1.08  1.45  
 6.42  1.63  1.06  1.42  
 6.44  1.66  0.99  1.41  
 6.46  1.72  0.98  1.42  
 6.48  1.78  0.95  1.38  
 6.50  1.78  0.93  1.37  
 6.52  1.79  0.92  1.35  
 6.54  1.71  0.88  1.32  
 6.56  1.75  0.85  1.29  
 6.58  1.78  0.84  1.27  
 6.60  1.76  0.80  1.23  
 6.62  1.66  0.81  1.19  
 6.64  1.53  0.78  1.17  
 6.66  1.54  0.75  1.13  
 6.68  1.48  0.73  1.10  
 6.70  1.44  0.72  1.05  
 6.72  1.33  0.71  1.02  
 6.74  1.35  0.67  0.98  
 6.76  1.25  0.69  0.94  
 6.78  1.20  0.69  0.90  
 6.80  1.09  0.71  0.89  
 6.82  1.08  0.70  0.83  
 6.84  1.02  0.71  0.81  
 6.86  0.97  0.70  0.79  
 6.88  0.89  0.72  0.79  
 6.90  0.87  0.75  0.74  
 6.92  0.85  0.73  0.72  
 6.94  0.81  0.74  0.71  
 6.96  0.82  0.77  0.71  
 6.98  0.79  0.77  0.69  
 7.00  0.77  0.79  0.66  
 7.02  0.77  0.82  0.69  
 7.04  0.73  0.82  0.67  
 7.06  0.71  0.82  0.68  
 7.08  0.71  0.83  0.68  
 7.10  0.72  0.88  0.69  
 7.12  0.70  0.88  0.69  
 7.14  0.69  0.89  0.70  
 7.16  0.67  0.91  0.70  
 7.18  0.73  0.91  0.73  
 7.20  0.70  0.92  0.74  
 7.22  0.71  0.95  0.74  
 7.24  0.75  0.96  0.76  
 7.26  0.75  0.97  0.76  
 7.28  0.80  1.00  0.78  
 7.30  0.79  1.00  0.79  
 7.32  0.85  1.03  0.80  
 7.34  0.85  1.05  0.80  
 7.36  0.91  1.05  0.81  
 7.38  0.93  1.06  0.83  
 7.40  0.97  1.07  0.88  
 7.42  1.01  1.07  0.87  
 7.44  1.04  1.09  0.88  
